provider_id,provider_name,specialty,license_number,years_of_experience,zip_code,state,practice_size,is_hospital_affiliated,electronic_system_type,insurance_networks,office_hours,languages_spoken,certification_dates,rating,patient_demographics
PROV00000,Healthcare Provider 0,Pediatrics,LIC231932,15,86820,NY,Large,0,System C,"Network3,Network2,Network1","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,Spanish","{""medical_license"": ""2021-09-16"", ""board_certification"": ""2017-04-08""}",3.4,"{""pediatric"": 63, ""adult"": 74, ""elderly"": 98}"
PROV00001,Healthcare Provider 1,Pediatrics,LIC427069,2,15311,FL,Small,0,Legacy,"Network3,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",Spanish,"{""medical_license"": ""2016-10-23"", ""board_certification"": ""2018-03-18""}",3.2,"{""pediatric"": 51, ""adult"": 34, ""elderly"": 81}"
PROV00002,Healthcare Provider 2,Pediatrics,LIC627035,16,69150,PA,Medium,0,System B,"Network1,Network2,Network3","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,French","{""medical_license"": ""2022-01-17"", ""board_certification"": ""2018-02-25""}",3.7,"{""pediatric"": 7, ""adult"": 73, ""elderly"": 27}"
PROV00003,Healthcare Provider 3,Internal Medicine,LIC573254,18,20627,CA,Medium,1,System B,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","English,Spanish","{""medical_license"": ""2019-10-08"", ""board_certification"": ""2016-10-25""}",4.8,"{""pediatric"": 7, ""adult"": 75, ""elderly"": 14}"
PROV00004,Healthcare Provider 4,Orthopedics,LIC704365,17,77121,FL,Medium,1,System B,"Network3,Network1","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",English,"{""medical_license"": ""2023-05-17"", ""board_certification"": ""2023-04-07""}",4.8,"{""pediatric"": 98, ""adult"": 49, ""elderly"": 91}"
PROV00005,Healthcare Provider 5,Family Practice,LIC723587,14,42606,PA,Large,1,System A,"Network3,Network2","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",French,"{""medical_license"": ""2021-08-25"", ""board_certification"": ""2017-08-13""}",3.2,"{""pediatric"": 12, ""adult"": 52, ""elderly"": 75}"
PROV00006,Healthcare Provider 6,Pediatrics,LIC532315,29,61214,IL,Small,0,System C,Network3,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Spanish,English","{""medical_license"": ""2019-08-25"", ""board_certification"": ""2016-08-02""}",3.5,"{""pediatric"": 98, ""adult"": 51, ""elderly"": 96}"
PROV00007,Healthcare Provider 7,Orthopedics,LIC686146,33,22666,IL,Medium,0,System B,Network2,"{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,English","{""medical_license"": ""2015-04-11"", ""board_certification"": ""2022-06-10""}",3.4,"{""pediatric"": 49, ""adult"": 84, ""elderly"": 16}"
PROV00008,Healthcare Provider 8,Family Practice,LIC747972,22,34538,TX,Small,0,System A,"Network4,Network1,Network3","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}",French,"{""medical_license"": ""2022-09-23"", ""board_certification"": ""2021-06-07""}",4.2,"{""pediatric"": 12, ""adult"": 58, ""elderly"": 35}"
PROV00009,Healthcare Provider 9,Orthopedics,LIC219176,15,97054,NY,Medium,1,System A,"Network2,Network1,Network4","{""monday"": ""9:00-17:00"", ""tuesday"": ""9:00-17:00"", ""wednesday"": ""9:00-17:00"", ""thursday"": ""9:00-17:00"", ""friday"": ""9:00-16:00""}","Chinese,French","{""medical_license"": ""2017-07-30"", ""board_certification"": ""2016-02-28""}",4.9,"{""pediatric"": 79, ""adult"": 50, ""elderly"": 22}"
